query,length,keyword_count,special_character_count,contains_sensitive_column,is_select_star,label
SELECT wyensy FROM citsewqown WHERE ejlynz LIKE 'test%';,56,1,3,0,0,0
SELECT * FROM thvsrwlhck WHERE qlyghp BETWEEN 100 AND 500;,58,2,1,0,1,0
UPDATE tnaavhjopq SET xxtzde='hacked' WHERE gufgcq='admin';,59,1,7,0,0,1
DELETE FROM ffkknknfjh WHERE sprhcl=10 OR 1=1;,46,2,3,0,0,1
SELECT kqlggv FROM rnuwvxfodn WHERE dlfzxo='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
DROP TABLE gnfynlvkiv;,22,1,1,0,0,1
DELETE FROM smfrmhplsq WHERE vmypdl=10 OR 1=1;,46,2,3,0,0,1
DROP TABLE dnlttbljgo;,22,1,1,0,0,1
DROP TABLE idtjfpdhac;,22,1,1,1,0,1
SELECT kfhbfr FROM kuzrypiijs WHERE ctfejf='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT riixba FROM milqfpvamd WHERE kmelaw='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT qdqjey FROM hsyerentmb WHERE rxlxbo LIKE 'test%';,56,1,3,0,0,0
"SELECT otbeqg, vxgwtp FROM stytujbhka WHERE otbeqg='value';",59,1,4,0,0,0
"SELECT aqssor, njvkrh FROM ymbcxcbjvz WHERE aqssor='' UNION SELECT username, password FROM users;",97,6,4,1,0,1
DELETE FROM mhgcssphgl WHERE fxikmy=10 OR 1=1;,46,2,3,0,0,1
SELECT * FROM qhuanuuucp WHERE gffevs BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT dxwoty, scukdq FROM jnmhkanrsk WHERE dxwoty='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT COUNT(*) FROM yvtymyqllw WHERE qhygse > 10;,50,1,3,0,0,0
SELECT vncqex FROM tcyarknhvj WHERE fbocyq LIKE 'test%';,56,1,3,0,0,0
UPDATE lwsfkqcyeq SET lfknmj='hacked' WHERE gjztzj='admin';,59,1,7,0,0,1
SELECT reledb FROM qqlxsgtgys WHERE zasjbu LIKE 'test%';,56,1,3,0,0,0
"SELECT ehgdic, AVG(efrwlh) FROM dsidtgrblr GROUP BY ehgdic;",59,1,3,1,0,0
"SELECT qokmfk, AVG(bvwmxz) FROM iczglyimdh GROUP BY qokmfk;",59,1,3,0,0,0
SELECT * FROM icyfgyshst WHERE ytudrd BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT tmuvkx, dcvrut FROM djrrzolube WHERE tmuvkx='value';",59,1,4,0,0,0
"SELECT bzcaeq, AVG(icjotd) FROM mtlfgjnzon GROUP BY bzcaeq;",59,1,3,0,0,0
"SELECT airgnn, hdnphw FROM uvdiytqvsc WHERE airgnn='value';",59,1,4,0,0,0
"SELECT mcrgre, AVG(haddor) FROM edwodslnbo GROUP BY mcrgre;",59,2,3,0,0,0
DROP TABLE zxpcxlchmw;,22,1,1,0,0,1
SELECT * FROM kzjbtagvrg WHERE xmpunu='admin' OR 1=1;,53,2,5,0,1,1
DELETE FROM ofwsegoxre WHERE trqdkl=10 OR 1=1;,46,2,3,0,0,1
DELETE FROM xovgsaawkx WHERE qjlnmk=10 OR 1=1;,46,2,3,0,0,1
"SELECT wawarr, lpxyrl FROM mgjnokqumv WHERE wawarr='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT rvbyxx FROM gmiybgahow WHERE srllte LIKE 'test%';,56,1,3,0,0,0
UPDATE cdbfbxmqvc SET fiqrpr='hacked' WHERE wahzuk='admin';,59,1,7,0,0,1
"SELECT ftaejy, AVG(nrtjcm) FROM gqngwttaef GROUP BY ftaejy;",59,1,3,0,0,0
SELECT adzues FROM dtjeqixmzk WHERE uugxdx LIKE 'test%';,56,1,3,0,0,0
SELECT vwsydc FROM clcnwpypcn WHERE rmocks LIKE 'test%';,56,1,3,0,0,0
"SELECT skbbvx, opylzg FROM kbqggwhmzg WHERE skbbvx='value';",59,1,4,0,0,0
"SELECT dngtfq, AVG(dvsghn) FROM rscoilyhxn GROUP BY dngtfq;",59,1,3,0,0,0
SELECT COUNT(*) FROM xsrmhwjksl WHERE blzawv > 10;,50,1,3,0,0,0
SELECT COUNT(*) FROM kakskyfqeu WHERE rjbnbh > 10;,50,1,3,0,0,0
SELECT ppifle FROM woggxhlnzm WHERE rphljp LIKE 'test%';,56,1,3,0,0,0
SELECT jaxjiu FROM dxietcvuxk WHERE rtugfi='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT yktnhj FROM tdzrhmzbfv WHERE wkuwio='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT eavsul FROM ctgilfosvn WHERE jokgjk='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
DROP TABLE pnjdmtkolc;,22,1,1,0,0,1
"SELECT opnfsf, AVG(imxsni) FROM dhcnehsnju GROUP BY opnfsf;",59,1,3,0,0,0
