Query_ID,Query_String,Length,Special_Chars,Keyword_Count,Mutation_Count,Anomaly_Score,Label
0,DROP TABLE users; --,140,9,1,2,0.9381,Malicious
1,DELETE FROM logs WHERE timestamp < '2024-01-01';,170,9,4,0,0.1513,Safe
2,DELETE FROM logs WHERE timestamp < '2024-01-01';,77,7,5,3,0.1238,Safe
3,UPDATE accounts SET balance=999999 WHERE account_id=202; --,192,10,4,3,0.724,Malicious
4,UPDATE accounts SET balance=999999 WHERE account_id=202; --,134,3,4,3,0.9281,Malicious
5,UPDATE accounts SET balance=999999 WHERE account_id=202; --,182,0,1,0,0.1238,Malicious
6,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",38,8,5,2,0.8507,Malicious
7,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,127,1,3,2,0.2564,Malicious
8,UPDATE accounts SET balance=5000 WHERE account_id=202;,129,9,2,0,0.4089,Safe
9,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",79,8,4,3,0.5276,Safe
10,UPDATE accounts SET balance=999999 WHERE account_id=202; --,83,1,3,2,0.3663,Malicious
11,DROP TABLE users; --,47,9,1,3,0.7384,Malicious
12,SELECT * FROM users WHERE username='' OR '1'='1'; --,155,9,2,3,0.9507,Malicious
13,DROP TABLE users; --,102,0,5,3,0.7546,Malicious
14,SELECT COUNT(*) FROM employees WHERE department='HR';,103,5,5,2,0.9902,Safe
15,SELECT * FROM users WHERE username='' OR '1'='1'; --,60,10,3,0,0.9356,Malicious
16,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",196,9,4,2,0.0792,Safe
17,SELECT * FROM users WHERE username='' OR '1'='1'; --,31,1,2,0,0.0336,Malicious
18,DROP TABLE users; --,141,8,5,3,0.166,Malicious
19,SELECT * FROM users WHERE username='' OR '1'='1'; --,111,6,1,0,0.0339,Malicious
20,SELECT * FROM users WHERE username='' OR '1'='1'; --,23,2,1,1,0.3434,Malicious
21,SELECT * FROM users WHERE username='' OR '1'='1'; --,35,6,4,0,0.239,Malicious
22,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,65,3,1,2,0.598,Malicious
23,SELECT COUNT(*) FROM employees WHERE department='HR';,193,4,2,0,0.6905,Safe
24,UPDATE accounts SET balance=999999 WHERE account_id=202; --,154,4,4,0,0.1992,Malicious
25,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",184,4,1,0,0.4893,Malicious
26,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",174,8,5,1,0.8286,Safe
27,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",141,10,5,3,0.1079,Malicious
28,UPDATE accounts SET balance=5000 WHERE account_id=202;,31,0,5,1,0.0534,Safe
29,UPDATE accounts SET balance=5000 WHERE account_id=202;,183,10,1,0,0.2712,Safe
30,SELECT COUNT(*) FROM employees WHERE department='HR';,141,1,4,3,0.041,Safe
31,SELECT COUNT(*) FROM employees WHERE department='HR';,123,2,5,1,0.338,Safe
32,SELECT * FROM users WHERE username='john_doe' AND password='1234';,188,5,3,3,0.3421,Safe
33,DROP TABLE users; --,195,8,1,1,0.4983,Malicious
34,UPDATE accounts SET balance=5000 WHERE account_id=202;,89,3,1,3,0.312,Safe
35,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,104,4,2,2,0.6205,Malicious
36,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",149,1,4,0,0.1297,Safe
37,UPDATE accounts SET balance=5000 WHERE account_id=202;,66,8,3,1,0.2716,Safe
38,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",120,0,1,2,0.6493,Safe
39,SELECT COUNT(*) FROM employees WHERE department='HR';,22,8,1,0,0.5856,Safe
