query,label
UPDATE users SET quantity = 'updated_value' WHERE id = 1;,0
DROP TABLE users;,1
UPDATE users SET email = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
SELECT id FROM users WHERE name LIKE '%John%';,0
DROP TABLE users;,1
SELECT name FROM orders WHERE quantity < 50;,0
DROP TABLE users;,1
UPDATE employees SET price = 'updated_value' WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
DELETE FROM users WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
UPDATE employees SET id = 'updated_value' WHERE id = 1;,0
' OR '1'='1' --,1
DELETE FROM employees WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE users SET position = 'updated_value' WHERE id = 1;,0
' OR '1'='1' --,1
SELECT quantity FROM users WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
DELETE FROM users WHERE id = 1;,0
DROP TABLE users;,1
DELETE FROM orders WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE products SET price = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE employees SET price = 'updated_value' WHERE id = 1;,0
' OR '1'='1' --,1
DELETE FROM users WHERE id = 1;,0
' OR '1'='1' --,1
DELETE FROM orders WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
SELECT quantity FROM employees WHERE name LIKE '%John%';,0
' OR '1'='1' --,1
UPDATE employees SET name = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
DELETE FROM orders WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
SELECT name FROM products WHERE quantity < 50;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE products SET name = 'updated_value' WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
DELETE FROM products WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE users SET quantity = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE employees SET position = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE products SET id = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE products SET price = 'updated_value' WHERE id = 1;,0
' OR '1'='1' --,1
UPDATE products SET name = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE products SET quantity = 'updated_value' WHERE id = 1;,0
' OR '1'='1' --,1
UPDATE products SET quantity = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE employees SET price = 'updated_value' WHERE id = 1;,0
' OR '1'='1' --,1
SELECT price FROM products WHERE name LIKE '%John%';,0
DROP TABLE users;,1
UPDATE products SET quantity = 'updated_value' WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
SELECT position FROM products WHERE quantity < 50;,0
DROP TABLE users;,1
UPDATE products SET price = 'updated_value' WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
DELETE FROM products WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
DELETE FROM orders WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
DELETE FROM orders WHERE id = 1;,0
' OR '1'='1' --,1
DELETE FROM employees WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
DELETE FROM employees WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
DELETE FROM orders WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE orders SET price = 'updated_value' WHERE id = 1;,0
DROP TABLE users;,1
UPDATE employees SET email = 'updated_value' WHERE id = 1;,0
DROP TABLE users;,1
DELETE FROM users WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
UPDATE products SET email = 'updated_value' WHERE id = 1;,0
' OR '1'='1' --,1
DELETE FROM users WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
UPDATE products SET id = 'updated_value' WHERE id = 1;,0
"SELECT id, username, password FROM users UNION SELECT credit_card, cvv FROM payments;",1
DELETE FROM products WHERE id = 1;,0
' OR '1'='1' --,1
DELETE FROM users WHERE id = 1;,0
' OR '1'='1' --,1
SELECT quantity FROM orders WHERE id = 1;,0
SELECT * FROM employees WHERE name = 'admin' --,1
